test_name,phase,idx,hw_re,hw_im
random_n8,ifft,6,64'h3ff395f249b720b9,64'hbff4fe108fd1f469
random_n8,ifft,7,64'hbff5e29879a72a8f,64'h3fdc71227d0a8ed4
zeros_n8,input,0,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,1,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,2,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,3,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,4,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,5,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,6,64'h0000000000000000,64'h0000000000000000
zeros_n8,input,7,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,0,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,1,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,2,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,3,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,4,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,5,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,6,64'h0000000000000000,64'h0000000000000000
zeros_n8,fft,7,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,0,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,1,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,2,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,3,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,4,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,5,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,6,64'h0000000000000000,64'h0000000000000000
zeros_n8,ifft,7,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n8,input,1,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,2,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,3,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,4,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,5,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,6,64'h0000000000000000,64'h0000000000000000
impulse_n8,input,7,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,0,64'h4000000000000000,64'h0000000000000000
impulse_n8,fft,1,64'h4000000000000000,64'h0000000000000000
impulse_n8,fft,2,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,3,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,4,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,5,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,6,64'h0000000000000000,64'h0000000000000000
impulse_n8,fft,7,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n8,ifft,1,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,2,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,3,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,4,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,5,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,6,64'h0000000000000000,64'h0000000000000000
impulse_n8,ifft,7,64'h0000000000000000,64'h0000000000000000
allones_n8,input,0,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,1,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,2,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,3,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,4,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,5,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,6,64'h3ff0000000000000,64'h0000000000000000
allones_n8,input,7,64'h3ff0000000000000,64'h0000000000000000
allones_n8,fft,0,64'h4010000000000000,64'h0000000000000000
allones_n8,fft,1,64'h0000000000000000,64'h0000000000000000
allones_n8,fft,2,64'h400b504f333f9de6,64'hbff6a09e667f3bcc
allones_n8,fft,3,64'h3fe2bec333018866,64'h3ff6a09e667f3bcc
allones_n8,fft,4,64'h4000000000000000,64'hc000000000000000
allones_n8,fft,5,64'h3fffffffffffffff,64'h4000000000000000
allones_n8,fft,6,64'h3fe2bec333018868,64'hbff6a09e667f3bcd
allones_n8,fft,7,64'h400b504f333f9de6,64'h3ff6a09e667f3bcd
allones_n8,ifft,0,64'h3ff0000000000000,64'h0000000000000000
allones_n8,ifft,1,64'h3ff0000000000000,64'h0000000000000000
allones_n8,ifft,2,64'h3ff3504f333f9de6,64'h3fca827999fcef32
allones_n8,ifft,3,64'h3fe0000000000000,64'h3fdfffffffffffff
allones_n8,ifft,4,64'h0000000000000000,64'h3c81a60000000000
allones_n8,ifft,5,64'h3ff0000000000000,64'hbff0000000000000
allones_n8,ifft,6,64'h3fe0000000000000,64'hbfdffffffffffffe
allones_n8,ifft,7,64'h3ff3504f333f9de6,64'hbfca827999fcef32
simple_n16,input,0,64'h3fe0000000000000,64'hbfc3333333333333
simple_n16,input,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n16,input,2,64'h4000000000000000,64'hbfe3333333333333
simple_n16,input,3,64'h4006000000000000,64'hbfea666666666666
simple_n16,input,4,64'h400c000000000000,64'hbff0cccccccccccd
simple_n16,input,5,64'h4011000000000000,64'hbff4666666666666
simple_n16,input,6,64'h4014000000000000,64'hbff8000000000000
simple_n16,input,7,64'h4017000000000000,64'hbffb999999999999
simple_n16,input,8,64'h401a000000000000,64'hbfff333333333333
simple_n16,input,9,64'h401d000000000000,64'hc001666666666666
simple_n16,input,10,64'h4020000000000000,64'hc003333333333333
simple_n16,input,11,64'h4021800000000000,64'hc005000000000000
simple_n16,input,12,64'h4023000000000000,64'hc006cccccccccccd
simple_n16,input,13,64'h4024800000000000,64'hc008999999999999
simple_n16,input,14,64'h4026000000000000,64'hc00a666666666666
simple_n16,input,15,64'h4027800000000000,64'hc00c333333333333
simple_n16,fft,0,64'h4000000000000000,64'hbfe3333333333334
simple_n16,fft,1,64'h4014000000000000,64'hbff8000000000000
simple_n16,fft,2,64'h40268145cfc27ec9,64'hc0076ae414fe6444
simple_n16,fft,3,64'h40002ad612feb7ea,64'hc01f97974795eba2
simple_n16,fft,4,64'h402f74eab493a2d0,64'hc029a79f2f610c93
simple_n16,fft,5,64'hc01b503bcf8dac04,64'hc020bec7370559d6
simple_n16,fft,6,64'h4025ad09df0522be,64'hc039e4b8073cbd0c
simple_n16,fft,7,64'hc022c9c2926558ba,64'h40275c54c427b454
simple_n16,fft,8,64'h403bf33333333333,64'hc01b000000000000
simple_n16,fft,9,64'h403b0ccccccccccd,64'hc023800000000000
simple_n16,fft,10,64'h403f9b9d382e5420,64'hc0408d0be27aeb87
simple_n16,fft,11,64'h40318b8067e25b40,64'hc01bf0ad9ac79123
simple_n16,fft,12,64'h4016203311cb6440,64'hc04b397613949f21
simple_n16,fft,13,64'h40342b266ec05a24,64'h4000642e0616bed4
simple_n16,fft,14,64'hc042bd35008d989a,64'hc042de62c7da5411
simple_n16,fft,15,64'h40446e2001bdeac2,64'h4011c7930623e432
simple_n16,ifft,0,64'h3fe0000000000000,64'hbfc3333333333334
simple_n16,ifft,1,64'h3ff4000000000000,64'hbfd8000000000000
simple_n16,ifft,2,64'h3ff22771b10bd3b9,64'hbfe4b3763a280b2c
simple_n16,ifft,3,64'h400a4ef6705c9d31,64'h3fd2663f66613fba
simple_n16,ifft,4,64'h4010c5a8e85a5714,64'hc002b2477c483c1c
simple_n16,ifft,5,64'h3ffd50c035c89cfe,64'hc0049d759adfa678
simple_n16,ifft,6,64'h401386093b57ca03,64'hbfc3c44566288ce2
simple_n16,ifft,7,64'h4018eff1dec31d81,64'h3fe840927c18d728
simple_n16,ifft,8,64'h401a000000000000,64'hbfff333333333334
simple_n16,ifft,9,64'h401d000000000000,64'hc001666666666666
simple_n16,ifft,10,64'h401f6968e7613d84,64'hbffb5e8aa4e8b1bf
simple_n16,ifft,11,64'h4020c195fc94b6f0,64'hc0112b8e8b223458
simple_n16,ifft,12,64'h4019714532902cc6,64'h4007d79fe51bb183
simple_n16,ifft,13,64'hc015f5be2ee02b90,64'hc02719cad57b5e70
simple_n16,ifft,14,64'h3fee01260f609a96,64'hc019dbc3e274400e
simple_n16,ifft,15,64'h4010d2ca5e99df98,64'hc02dccf25dcbfc7f
random_n16,input,0,64'hbfa452654ae652a8,64'h3fec08f43cca7144
random_n16,input,1,64'h3fe345f64db2ca20,64'hbff4546241821e7e
random_n16,input,2,64'hbff1370539605b13,64'h3ff7a39dc59cfe46
random_n16,input,3,64'h3ff640276ce1a129,64'hbff7750a56ea8bf2
random_n16,input,4,64'hbff7fffae73cb9d2,64'h3ff3cf8904f84f6a
random_n16,input,5,64'h3ff6345b1b56dc5b,64'hbfea79f44ffe2b4f
random_n16,input,6,64'hbff1212aae336444,64'h3fd2d780ca8cdd81
random_n16,input,7,64'h3fe30c995da3c468,64'h3fd20d525a84bf05
random_n16,input,8,64'hbfa069a7881ac5e8,64'hbfea23cb6381eec0
random_n16,input,9,64'hbfe1262d9a8c0953,64'h3ff3b24894b76c41
random_n16,input,10,64'h3ff065454fa96f8a,64'hbff769eff2a3be35
random_n16,input,11,64'hbff5cb86b31966df,64'h3ff7ac4d3db601d5
random_n16,input,12,64'h3ff7f9b320a58e51,64'hbff46f932f62f863
random_n16,input,13,64'hbff69d59bed3e2f6,64'h3fec5c50caf76ba4
random_n16,input,14,64'h3ff1e9edd39f9002,64'hbfd7524d5c37e6ff
random_n16,input,15,64'hbfe5225acebaf538,64'hbfcb0ba6909772e2
random_n16,fft,0,64'hbfc452654ae652a0,64'h400c08f43cca7144
random_n16,fft,1,64'h400345f64db2ca20,64'hc014546241821e7e
random_n16,fft,2,64'h401b95a60f683c94,64'h40013b7dd6270ec5
random_n16,fft,3,64'hc01e47313c3bcab0,64'h400860f5575c1ad2
random_n16,fft,4,64'hbffe46f32e394540,64'h401176697d62f1b0
random_n16,fft,5,64'hc01dab3843ad7e2a,64'hc013db3b93c17ea0
random_n16,fft,6,64'h3fc1bcd96ba0eeb4,64'h400e96773e9f477f
random_n16,fft,7,64'hbffea61215739a58,64'h400721e28c73d5ef
random_n16,fft,8,64'hc014ed4927ff9f3c,64'hbfc6f66ae0eb99a1
random_n16,fft,9,64'h4007adca3cf188c7,64'h3ffd6058e7f746b6
random_n16,fft,10,64'h3fea0abd7c7c55d0,64'h401290c72d19db99
random_n16,fft,11,64'hbfd2a640464fd790,64'hc02356837b1afed4
random_n16,fft,12,64'h3fb9392aa99eace0,64'h4009b1a59ae29c4c
random_n16,fft,13,64'h4022e17b6dbd64b8,64'hc00556187c00c723
random_n16,fft,14,64'h3fdace57a5ec886b,64'hc004dc47c32d17fe
random_n16,fft,15,64'h3ff07d6f64c68e43,64'hc012b1334ef31dcc
random_n16,ifft,0,64'hbfa452654ae652a0,64'h3fec08f43cca7144
random_n16,ifft,1,64'h3fe345f64db2ca20,64'hbff4546241821e7e
random_n16,ifft,2,64'hbfe33d46e04d29e8,64'h4001a0acb422faf7
random_n16,ifft,3,64'h3ff4f20f9c62a141,64'hbfe67a1408f69b1d
random_n16,ifft,4,64'hbff437629fcc6e1a,64'h3faba4e86f52cfa0
random_n16,ifft,5,64'h40004070b3ffcdb4,64'hbfea23ec138a45ee
random_n16,ifft,6,64'hbff11c18563e2ae1,64'h3fe36c616e82724c
random_n16,ifft,7,64'h3fd92ea041c37d6f,64'h3f647cf1723f6000
random_n16,ifft,8,64'hbfa069a7881ac5e0,64'hbfea23cb6381eec0
random_n16,ifft,9,64'hbfe1262d9a8c0952,64'h3ff3b24894b76c40
random_n16,ifft,10,64'h3ff54b4029d8973a,64'hbff459a3cd149078
random_n16,ifft,11,64'hbff33854eb74bb3a,64'h3ff8cf1bff8dc882
random_n16,ifft,12,64'h3ff1f8e24876b5b9,64'h3ffe7b01d21ee169
random_n16,ifft,13,64'hbfdba3c57f3f5dca,64'h3ff420c7d6cd362d
random_n16,ifft,14,64'h3fe40a0812493b3a,64'h3fe853f1ddf18ee0
random_n16,ifft,15,64'hbfdb2a61bbadf284,64'hbfeb17e6bcf1aaf2
zeros_n16,input,0,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,1,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,2,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,3,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,4,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,5,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,6,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,7,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,8,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,9,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,10,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,11,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,12,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,13,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,14,64'h0000000000000000,64'h0000000000000000
zeros_n16,input,15,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,0,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,1,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,2,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,3,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,4,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,5,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,6,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,7,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,8,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,9,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,10,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,11,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,12,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,13,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,14,64'h0000000000000000,64'h0000000000000000
zeros_n16,fft,15,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,0,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,1,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,2,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,3,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,4,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,5,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,6,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,7,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,8,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,9,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,10,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,11,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,12,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,13,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,14,64'h0000000000000000,64'h0000000000000000
zeros_n16,ifft,15,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n16,input,1,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,2,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,3,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,4,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,5,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,6,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,7,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,8,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,9,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,10,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,11,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,12,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,13,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,14,64'h0000000000000000,64'h0000000000000000
impulse_n16,input,15,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,0,64'h4010000000000000,64'h0000000000000000
impulse_n16,fft,1,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,2,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,3,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,4,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,5,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,6,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,7,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,8,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,9,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,10,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,11,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,12,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,13,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,14,64'h0000000000000000,64'h0000000000000000
impulse_n16,fft,15,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,0,64'h3ff0000000000000,64'h0000000000000000
impulse_n16,ifft,1,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,2,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,3,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,4,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,5,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,6,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,7,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,8,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,9,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,10,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,11,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,12,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,13,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,14,64'h0000000000000000,64'h0000000000000000
impulse_n16,ifft,15,64'h0000000000000000,64'h0000000000000000
allones_n16,input,0,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,1,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,2,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,3,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,4,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,5,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,6,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,7,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,8,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,9,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,10,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,11,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,12,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,13,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,14,64'h3ff0000000000000,64'h0000000000000000
allones_n16,input,15,64'h3ff0000000000000,64'h0000000000000000
allones_n16,fft,0,64'h4010000000000000,64'h0000000000000000
allones_n16,fft,1,64'h4010000000000000,64'h0000000000000000
allones_n16,fft,2,64'h4011fc8638969d18,64'hbfd53c8faa900ce0
allones_n16,fft,3,64'h4002a791f552019c,64'hc003f90c712d3a30
allones_n16,fft,4,64'h4013504f333f9de6,64'hbfffffffffffffff
allones_n16,fft,5,64'hbfea827999fcef30,64'hc000000000000001
allones_n16,fft,6,64'h4009975f5e055316,64'hc0101bfee2424771
allones_n16,fft,7,64'hc00037fdc4848ee2,64'h3ff32ebebc0aa62a
allones_n16,fft,8,64'h4010000000000000,64'h0000000000000000
allones_n16,fft,9,64'h4010000000000000,64'h0000000000000000
allones_n16,fft,10,64'h4011fc8638969d18,64'hc003f90c712d3a30
allones_n16,fft,11,64'h4002a791f552019c,64'hbfd53c8faa900ce0
allones_n16,fft,12,64'h4000000000000001,64'hc013504f333f9de6
